val loss: 1.6809413433074951 Epoch 32 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.82
val loss: 1.6768288612365723 Epoch 33 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.678586721420288 Epoch 34 - Top-1 Accuracy: 0.57, Top-5 Accuracy: 0.82
val loss: 1.682474136352539 Epoch 35 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.815
val loss: 1.6626372337341309 Epoch 36 - Top-1 Accuracy: 0.57, Top-5 Accuracy: 0.825
val loss: 1.6741269826889038 Epoch 37 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.805
val loss: 1.6739139556884766 Epoch 38 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.805
val loss: 1.6756917238235474 Epoch 39 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.805
val loss: 1.6733043193817139 Epoch 40 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.673323154449463 Epoch 41 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.815
val loss: 1.6734325885772705 Epoch 42 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.6706910133361816 Epoch 43 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.6713004112243652 Epoch 44 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.6714341640472412 Epoch 45 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.81
val loss: 1.6711316108703613 Epoch 46 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.6705257892608643 Epoch 47 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.815
val loss: 1.6703733205795288 Epoch 48 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.6703517436981201 Epoch 49 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 7.276976585388184 Epoch 0 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.025
val loss: 6.561844825744629 Epoch 0 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.03
val loss: 6.200352668762207 Epoch 1 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.025
val loss: 5.959508895874023 Epoch 2 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.03
val loss: 5.78030252456665 Epoch 3 - Top-1 Accuracy: 0.015, Top-5 Accuracy: 0.045
val loss: 5.638991832733154 Epoch 4 - Top-1 Accuracy: 0.01, Top-5 Accuracy: 0.05
val loss: 5.520483016967773 Epoch 5 - Top-1 Accuracy: 0.01, Top-5 Accuracy: 0.045
val loss: 5.41951847076416 Epoch 6 - Top-1 Accuracy: 0.01, Top-5 Accuracy: 0.06
val loss: 5.330684661865234 Epoch 7 - Top-1 Accuracy: 0.01, Top-5 Accuracy: 0.07
val loss: 5.25291633605957 Epoch 8 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.085
val loss: 5.18263053894043 Epoch 9 - Top-1 Accuracy: 0.01, Top-5 Accuracy: 0.09
val loss: 5.11948823928833 Epoch 10 - Top-1 Accuracy: 0.025, Top-5 Accuracy: 0.105
val loss: 5.062889099121094 Epoch 11 - Top-1 Accuracy: 0.025, Top-5 Accuracy: 0.105
val loss: 5.00974178314209 Epoch 12 - Top-1 Accuracy: 0.02, Top-5 Accuracy: 0.115
val loss: 4.961377143859863 Epoch 13 - Top-1 Accuracy: 0.02, Top-5 Accuracy: 0.12
val loss: 4.917741775512695 Epoch 14 - Top-1 Accuracy: 0.025, Top-5 Accuracy: 0.12
val loss: 4.876208305358887 Epoch 15 - Top-1 Accuracy: 0.025, Top-5 Accuracy: 0.125
val loss: 4.837384223937988 Epoch 16 - Top-1 Accuracy: 0.03, Top-5 Accuracy: 0.125
val loss: 4.799262523651123 Epoch 17 - Top-1 Accuracy: 0.03, Top-5 Accuracy: 0.135
val loss: 4.763156890869141 Epoch 18 - Top-1 Accuracy: 0.035, Top-5 Accuracy: 0.14
val loss: 4.72861385345459 Epoch 19 - Top-1 Accuracy: 0.03, Top-5 Accuracy: 0.145
val loss: 4.6949920654296875 Epoch 20 - Top-1 Accuracy: 0.035, Top-5 Accuracy: 0.155
val loss: 4.662035942077637 Epoch 21 - Top-1 Accuracy: 0.04, Top-5 Accuracy: 0.16
val loss: 4.629810333251953 Epoch 22 - Top-1 Accuracy: 0.045, Top-5 Accuracy: 0.16
val loss: 4.5977783203125 Epoch 23 - Top-1 Accuracy: 0.045, Top-5 Accuracy: 0.165
val loss: 4.566378593444824 Epoch 24 - Top-1 Accuracy: 0.045, Top-5 Accuracy: 0.17
val loss: 4.535451889038086 Epoch 25 - Top-1 Accuracy: 0.045, Top-5 Accuracy: 0.19
val loss: 4.535451889038086 Epoch 25 - Top-1 Accuracy: 0.045, Top-5 Accuracy: 0.19
val loss: 4.502537250518799 Epoch 26 - Top-1 Accuracy: 0.05, Top-5 Accuracy: 0.205
val loss: 7.276976585388184 Epoch 0 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.025
val loss: 6.524433135986328 Epoch 0 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.025
val loss: 6.033815860748291 Epoch 1 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.03
val loss: 5.612545967102051 Epoch 2 - Top-1 Accuracy: 0.015, Top-5 Accuracy: 0.04
val loss: 5.262001037597656 Epoch 3 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.075
val loss: 4.957880973815918 Epoch 4 - Top-1 Accuracy: 0.015, Top-5 Accuracy: 0.1
val loss: 4.697315216064453 Epoch 5 - Top-1 Accuracy: 0.045, Top-5 Accuracy: 0.14
val loss: 4.4498395919799805 Epoch 6 - Top-1 Accuracy: 0.05, Top-5 Accuracy: 0.215
val loss: 4.151224136352539 Epoch 7 - Top-1 Accuracy: 0.085, Top-5 Accuracy: 0.275
val loss: 3.7722764015197754 Epoch 8 - Top-1 Accuracy: 0.125, Top-5 Accuracy: 0.405
val loss: 3.311649799346924 Epoch 9 - Top-1 Accuracy: 0.185, Top-5 Accuracy: 0.525
val loss: 2.852879524230957 Epoch 10 - Top-1 Accuracy: 0.295, Top-5 Accuracy: 0.605
val loss: 2.4713516235351562 Epoch 11 - Top-1 Accuracy: 0.33, Top-5 Accuracy: 0.68
val loss: 2.2245571613311768 Epoch 12 - Top-1 Accuracy: 0.43, Top-5 Accuracy: 0.7
val loss: 2.0764737129211426 Epoch 13 - Top-1 Accuracy: 0.435, Top-5 Accuracy: 0.745
val loss: 1.9592355489730835 Epoch 14 - Top-1 Accuracy: 0.505, Top-5 Accuracy: 0.745
val loss: 1.9241268634796143 Epoch 15 - Top-1 Accuracy: 0.52, Top-5 Accuracy: 0.765
val loss: 1.831623911857605 Epoch 16 - Top-1 Accuracy: 0.53, Top-5 Accuracy: 0.795
val loss: 1.797814130783081 Epoch 17 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.795
val loss: 1.7575397491455078 Epoch 18 - Top-1 Accuracy: 0.53, Top-5 Accuracy: 0.805
val loss: 1.7395775318145752 Epoch 19 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.8
val loss: 1.7201124429702759 Epoch 20 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.82
val loss: 1.6894086599349976 Epoch 21 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.835
val loss: 1.7077981233596802 Epoch 22 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.805
val loss: 1.6960784196853638 Epoch 23 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.6992661952972412 Epoch 24 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.805
val loss: 1.6955761909484863 Epoch 25 - Top-1 Accuracy: 0.54, Top-5 Accuracy: 0.82
val loss: 1.7082386016845703 Epoch 26 - Top-1 Accuracy: 0.535, Top-5 Accuracy: 0.8
val loss: 1.7072798013687134 Epoch 27 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.82
val loss: 1.698708176612854 Epoch 28 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.82
val loss: 1.6735042333602905 Epoch 29 - Top-1 Accuracy: 0.565, Top-5 Accuracy: 0.815
val loss: 1.6731224060058594 Epoch 30 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.83
val loss: 1.6719059944152832 Epoch 31 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.815
val loss: 1.6809413433074951 Epoch 32 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.82
val loss: 1.6768288612365723 Epoch 33 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.678586721420288 Epoch 34 - Top-1 Accuracy: 0.57, Top-5 Accuracy: 0.82
val loss: 1.682474136352539 Epoch 35 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.815
val loss: 1.6626372337341309 Epoch 36 - Top-1 Accuracy: 0.57, Top-5 Accuracy: 0.825
val loss: 1.6741269826889038 Epoch 37 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.805
val loss: 1.6739139556884766 Epoch 38 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.805
val loss: 1.6756917238235474 Epoch 39 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.805
val loss: 1.6733043193817139 Epoch 40 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.673323154449463 Epoch 41 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.815
val loss: 1.6734325885772705 Epoch 42 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.6706910133361816 Epoch 43 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.6713004112243652 Epoch 44 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.6714341640472412 Epoch 45 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.81
val loss: 1.6711316108703613 Epoch 46 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.6705257892608643 Epoch 47 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.815
val loss: 1.6703733205795288 Epoch 48 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.6703517436981201 Epoch 49 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 7.276976585388184 Epoch 0 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.025
val loss: 6.524433135986328 Epoch 0 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.025
val loss: 6.033815860748291 Epoch 1 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.03
val loss: 5.612545967102051 Epoch 2 - Top-1 Accuracy: 0.015, Top-5 Accuracy: 0.04
val loss: 5.262001037597656 Epoch 3 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.075
val loss: 4.957880973815918 Epoch 4 - Top-1 Accuracy: 0.015, Top-5 Accuracy: 0.1
val loss: 4.697315216064453 Epoch 5 - Top-1 Accuracy: 0.045, Top-5 Accuracy: 0.14
val loss: 4.4498395919799805 Epoch 6 - Top-1 Accuracy: 0.05, Top-5 Accuracy: 0.215
val loss: 4.151224136352539 Epoch 7 - Top-1 Accuracy: 0.085, Top-5 Accuracy: 0.275
val loss: 3.7722764015197754 Epoch 8 - Top-1 Accuracy: 0.125, Top-5 Accuracy: 0.405
val loss: 3.311649799346924 Epoch 9 - Top-1 Accuracy: 0.185, Top-5 Accuracy: 0.525
